eventID,occurrenceID,measurementID,measurementType,measurementTypeID,measurementValue,measurementValueID,measurementUnit,measurementUnitID,measurementMethod
IYS:GoA2020:Stn3:trawl,IYS:GoA2020:Stn3:trawl:occ:15,IYS:GoA2020:Stn3:trawl:occ:15:individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,165,,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,total
IYS:GoA2020:Stn3:trawl,IYS:GoA2020:Stn3:trawl:occ:15,IYS:GoA2020:Stn3:trawl:occ:15:biomass,Total species biomass,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,,,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,
IYS:GoA2020:Stn4:trawl,IYS:GoA2020:Stn4:trawl:occ:16,IYS:GoA2020:Stn4:trawl:occ:16:individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,8,,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,total
IYS:GoA2020:Stn4:trawl,IYS:GoA2020:Stn4:trawl:occ:16,IYS:GoA2020:Stn4:trawl:occ:16:biomass,Total species biomass,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,0.015,,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,
IYS:GoA2020:Stn4:trawl,IYS:GoA2020:Stn4:trawl:occ:17,IYS:GoA2020:Stn4:trawl:occ:17:individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,10,,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,total
IYS:GoA2020:Stn4:trawl,IYS:GoA2020:Stn4:trawl:occ:17,IYS:GoA2020:Stn4:trawl:occ:17:biomass,Total species biomass,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,,,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,
IYS:GoA2020:Stn4:trawl,IYS:GoA2020:Stn4:trawl:occ:18,IYS:GoA2020:Stn4:trawl:occ:18:individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,96,,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,total
IYS:GoA2020:Stn4:trawl,IYS:GoA2020:Stn4:trawl:occ:18,IYS:GoA2020:Stn4:trawl:occ:18:biomass,Total species biomass,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,,,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,
IYS:GoA2020:Stn4:trawl,IYS:GoA2020:Stn4:trawl:occ:19,IYS:GoA2020:Stn4:trawl:occ:19:individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,6,,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,total
IYS:GoA2020:Stn4:trawl,IYS:GoA2020:Stn4:trawl:occ:19,IYS:GoA2020:Stn4:trawl:occ:19:biomass,Total species biomass,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,0.043,,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,
